id,log,task_id
0,"['K: selam_ver()', 'S: iste(amaç)', 'K: bilgilendir(amaç=restoran rezervasyonu,saat=14,mutfak=hint)', 'S: iste(yer)', 'K: bilgilendir(yer=anadolu yakası,fiyat=pahalı)', 'S: iste(kişi sayısı)', 'K: bilgilendir(kişi sayısı=1,gün=fark etmez)', 'S: teklif_et(restoran=curry garden,restoran=taj tandoori,restoran=tandoori palace)', 'K: seç(restoran=curry garden)', 'S: onaylandı(curry garden)', 'K: veda_et()', 'S: veda_et()']",1611
1,"['S: iste(amaç)', 'K: bilgilendir(amaç=restoran rezervasyonu,gün=pazartesi,saat=15)', 'S: iste(mutfak)', 'K: bilgilendir(mutfak=italyan,fiyat=fark etmez)', 'S: iste(yer)', 'K: bilgilendir(yer=anadolu yakası)', 'S: iste(kişi sayısı)', 'K: bilgilendir(kişi sayısı=3)', 'S: teklif_et(restoran=pizza hut city centre,restoran=pizza hut cherry hinton,restoran=stazione restaurant and coffee bar)', 'K: seç(restoran=stazione restaurant and coffee bar)', 'S: onaylandı(stazione restaurant and coffee bar)', 'K: iste(telefon_no,puan)', 'S: bilgilendir(telefon_no=02161215595,puan=4)', 'K: veda_et()', 'S: veda_et()']",1612
2,"['K: selam_ver()', 'S: iste(amaç)', 'K: bilgilendir(amaç=restoran rezervasyonu,gün=pazartesi,saat=18,fiyat=orta,kişi sayısı=2)', 'S: iste(mutfak)', 'K: bilgilendir(mutfak=çin,yer=anadolu yakası)', 'S: teklif_et(restoran=golden wok,restoran=shanghai family restaurant)', 'K: alternatif_sor()', 'S: bilgilendir(işlem başarısız)', 'K: veda_et()', 'S: veda_et()']",1613
3,"['K: selam_ver()', 'S: iste(amaç)', 'K: bilgilendir(amaç=restoran rezervasyonu,saat=12,fiyat=pahalı,mutfak=türk,gün=pazartesi)', 'S: teklif_et(restoran=meze bar)', 'K: seç(restoran=meze bar)', 'S: onaylandı(meze bar)', 'K: iste(telefon_no,puan)', 'S: bilgilendir(telefon_no=0212664319,puan=3)', 'K: veda_et()', 'S: veda_et()']",1614
4,"['S: iste(amaç)', 'K: bilgilendir(amaç=restoran rezervasyonu,kişi sayısı=3)', 'S: iste(mutfak)', 'K: bilgilendir(mutfak=portekiz)', 'S: teklif_et(restoran=nandos,restoran=nandos city centre)', 'K: alternatif_sor()', 'S: bilgilendir(işlem başarısız)', 'K: veda_et()', 'S: veda_et()']",1615
5,"['S: iste(amaç)', 'K: bilgilendir(amaç=restoran rezervasyonu,kişi sayısı=fark etmez,yer=anadolu yakası)', 'S: iste(mutfak)', 'K: bilgilendir(mutfak=fark etmez,fiyat=pahalı,gün=pazartesi)', 'S: iste(saat)', 'K: bilgilendir(saat=14)', 'S: teklif_et(restoran=curry garden,restoran=taj tandoori,restoran=stazione restaurant and coffee bar)', 'K: seç(restoran=taj tandoori)', 'S: onaylandı(taj tandoori)', 'K: veda_et()', 'S: veda_et()']",1616
6,"['S: iste(amaç)', 'K: bilgilendir(amaç=restoran rezervasyonu,gün=fark etmez,saat=14,mutfak=italyan)', 'S: iste(yer)', 'K: bilgilendir(yer=anadolu yakası,kişi sayısı=3,fiyat=pahalı)', 'S: teklif_et(restoran=stazione restaurant and coffee bar,restoran=frankie and bennys,restoran=clowns cafe)', 'K: seç(restoran=stazione restaurant and coffee bar)', 'S: onaylandı(stazione restaurant and coffee bar)', 'K: veda_et()', 'S: veda_et()']",1617
7,"['K: selam_ver()', 'S: iste(amaç)', 'K: bilgilendir(amaç=restoran rezervasyonu,saat=18,fiyat=ucuz,gün=pazartesi)', 'S: iste(mutfak)', 'K: bilgilendir(mutfak=doğu asya,kişi sayısı=4,yer=avrupa yakası)', 'S: teklif_et(restoran=j restaurant)', 'K: reddet()', 'S: veda_et()']",1618
8,"['K: tekrar_sor()', 'S: iste(amaç)', 'K: bilgilendir(amaç=restoran rezervasyonu,yer=anadolu yakası,fiyat=pahalı)', 'S: iste(mutfak)', 'K: bilgilendir(mutfak=african)', 'S: teklif_et(restoran=bedouin)', 'K: seç(restoran=bedouin)', 'S: onaylandı(bedouin)', 'K: iste(telefon_no)', 'S: bilgilendir(telefon_no=02168280118)', 'K: veda_et()', 'S: veda_et()']",1619
9,"['K: selam_ver()', 'S: iste(amaç)', 'K: bilgilendir(amaç=restoran rezervasyonu,fiyat=pahalı,gün=pazartesi,kişi sayısı=4,mutfak=avrupa)', 'S: iste(yer)', 'K: tekrar_sor()', 'S: iste(yer)', 'K: bilgilendir(yer=anadolu yakası)', 'S: teklif_et(restoran=eraina,restoran=city stop restaurant,restoran=cambridge lodge restaurant)', 'K: tekrar_sor()', 'S: teklif_et(restoran=eraina,restoran=city stop restaurant,restoran=cambridge lodge restaurant)', 'K: tekrar_sor()', 'S: teklif_et(restoran=eraina,restoran=city stop restaurant,restoran=cambridge lodge restaurant)', 'K: alternatif_sor()', 'S: bilgilendir(işlem başarısız)', 'K: seç(restoran=eraina)', 'S: onaylandı(eraina)', 'K: iste(telefon_no,puan)', 'S: bilgilendir(telefon_no=02163105171,puan=4)', 'K: veda_et()', 'S: veda_et()']",1620
