info;
"{""id"":""SNG0548.json"",""log"":[""Pizza Hut şehir merkezi adında belirli bir restoran arıyorum."",""Merkezde ucuz bir İtalyan restoranı var. Regent Caddesi Şehir Merkezi cb21ab. Telefon numarası da 01223323737. Daha fazla bilgi ister misiniz?"",""Bu o mekan gibi görünüyor. Perşembe günü 19:45 için 2 kişilik masa rezerve edebilir misin?"",""Rezervasyonunuz tamamlandı. Sizin perşembe günü 19:45 için 2 kişilik masa tuttum. Referans numaranız F3K2PQZZ."",""Tamam kulağa hoş geliyor. Teşekkür ederim!\n"",""Rica ederim. Bugün size yardımcı olabileceğim başka bir şey var mı?"",""Hepsi bu. Yardımın için teşekkür ederim!"",""Rica ederim. İyi günler.""]}";
"{""id"":""SNG0699.json"",""log"":[""Pahalı bir İtalyan restoranı arıyorum."",""Cambridge Leisure Park Clifton Way Cherry Hinton'da Frankie ve Benny adında pahalı bir İtalyan restoranı var. Oraya gitmek ya da başka bir öneri ister misiniz?"",""Harika, evet kulağa güzel geliyor. Benim için Pazar günü 11:30'a 5 kişilik masa ayırabilir misin?"",""Maalesef, uygun masa bulunmuyor. Lütfen başka bir gün veya zaman aralığı deneyin."",""Peki Pazar günü 10:30 nasıl? Ve referans numarası alabilir miyim?"",""10:30'da Pazar günü 5 kişilik bir masa rezerve ettim. Referans numarası MBC9E6AL. Bugün size yardım edebileceğim başka bir şey var mı?"",""Hayır, hepsi bu. Yardımlarınız için çok teşekkür ederim."",""Rica ederim. Güle güle.""]}";
"{""id"":""WOZ20259.json"",""log"":[""Şehrin doğu kesiminde pahalı bir restoran adresine ihtiyacım var."",""İngiliz, Hint ya da Çin yemeği ya da bir gastropub tercih eder misiniz?"",""Öyle bir tercihim yok."",""Grafton otel ve restoran, İngiliz yemekleri yapıyor şehrin doğu kesiminde ve pahalı fiyat aralığında. Konumunu ister misiniz?\n"",""Evet, bana adresi ver lütfen."",""Adresi Grafton Hotel 619 Newmarket Road Fen Buckingham Palace."",""teşekkür ederim, güle güle."",""Rica ederim. Hoşça kal!""]}";
"{""id"":""WOZ20114.json"",""log"":[""Şehrin Kuzey kısmında ucuz bir restoran bulmak istiyorum. Adres ve mutfak bilgisi paylaşır mısın?"",""da vinci pizza İtalyan yemekleri yapıyor ve 20 Milton Road Chesterton'da veya Royal Spice, Hint yemekleri yapıyor ve Victoria Street Chesterton üzerinde.\n"",""Teşekkürler"",""Teşekkürler, güle güle""]}";
"{""id"":""SNG01608.json"",""log"":[""Cambridge'de herhangi bir Portekiz restoranı var mı?"",""Evet Cambridge'de iki farklı Portekiz restoranı var, adreslerini ister misiniz?"",""Bunlardan birinin ortalama bir fiyat aralığı varsa lütfen bana bu adresi verin. Değilse bana bunun yerine Türk restoranları hakkında bilgi verin."",""İki Türk restoranı buldum, ikisi de merkezde ve pahalı. Anadolu önerebilir miyim?"",""Aslında ortalama fiyatlı bir restorana ihtiyacım var. Bu tanıma uyan herhangi bir tane var mı?"",""Üzgünüm. Fiyat aralığını yanlış anladım. The Anatolia ortalama bir aralıktadır. Bu restoran size uygun mu?"",""Evet, pazartesi 14:00 'de 1 kişi için rezervasyon yaptırmam gerekiyor."",""Rezervasyon başarılı. Masa 15 dakika boyunca rezerve edilecektir. Referans numarası: 96ZYHLN1."",""Çok teşekkür ederim. Bugünlük bu kadar. Güle güle!\n"",""Rica ederim.""]}";
"{""id"":""WOZ20214.json"",""log"":[""Merhaba, pahalı bir restorana istiyorum. Şehrin Doğu kısmında lütfen."",""Royal Standard adında Doğuda bir Gastropub var. Bu uygun mu?\n"",""doğuda başka pahalı lokanta var mı?"",""Evet, dört seçenek daha var. Ne tür yiyecek istersiniz?"",""Önemli değil, sadece Gastropub değil."",""Grafton Otel Restoran tavsiye edebilir miyim? Çok İngiliz, çok pahalı bir yer ve şehrin doğu kesiminde yer alıyorlar.\n"",""Keyif alacağım bir yere benziyor. Bana adresini ve telefon numarasını verebilir misiniz?"",""Kesinlikle. Grafton Otel ve Restoran 619 Newmarket Road Fen Ditton'dadır ve numarası 01223 241387'dir. Daha fazla yardım edebilir miyim?"",""Teşekkür ederim, güle güle."",""İyi günler! Güle güle. ""]}";
"{""id"":""WOZ20593.json"",""log"":[""Orta fiyatlı Polonya restoranı arıyorum."",""Üzgünüm, ama orta fiyatlı herhangi bir Polonya restoranı yok. Diğer fiyat aralıklarını veya farklı türde yiyecekleri kontrol etmeli miyim?"",""evet, lütfen bir türk restoranı bulabilir misiniz?"",""İki sonuç var. Anatolia restoranı ve Efes restoranı, Türk yemeklerini ortalama fiyat aralığında sunuyorlar. Size yardımcı olabileceğim başka bir şey var mı?"",""Anatolia'nın adresini alabilir miyim?\n"",""Evet, Anatolia'nın adresi 30 Street Şehir Merkezi."",""Teşekkürler"",""Teşekkür ederim.""]}";
"{""id"":""SNG0487.json"",""log"":[""Şehir merkezinde ucuz bir restoran arıyorum."",""Şehir merkezinde çeşitli seçenekler mevcut. Tercih ettiğiniz belirli bir mutfak var mı? Asya, Çin, Hint, İtalyan, Akdeniz, çağdaş, Avrupa, Portekizce veya İspanyolca?"",""Moleküler gastronomi servis eden bir restoran istiyorum.\n"",""Ne yazık ki, isteğiniz ile eşleşen bir tür listede yok. Farklı bir fiyat aralığı veya mutfak türü denemek ister misiniz?\n"",""Herhangi bir Çin restoranı var mı?"",""Evet, ucuz fiyat aralığında 3 Çin restoranı var. Golden House'u tavsiye ederim. Sana bir masa ayırtmamı ister misin?"",""Evet, lütfen 3 kişi için 20:00 civarında rezervasyon yap"",""Hangi gün rezervasyon yaptırmak istersiniz?"",""Aslında, boşver onu, rezervasyon istemiyorum. Bana Golden House'un telefon numarasını verir misiniz?"",""Telefon numarası 01842753771. Size yardım edebileceğim başka bir şey var mı?"",""Bana adres ve posta kodunu verebilir misiniz?"",""Golden House, 12 Lensfield Road City Center'da yer almaktadır. Posta kodları cb21eg. Yardımcı olmamı istediğiniz başka bir şey var mı?"",""Hayır, bu kadar. Çok teşekkürler."",""Rica ederim. Afiyet olsun!""]}";
"{""id"":""WOZ20664.json"",""log"":[""Bir danimarka restoranı arıyorum"",""Listede Danimarka restoranı yok. Seni başka bir restorana yönlendirebilir miyim?"",""Kuzey Amerika yemeğine ne dersin?"",""Şehrin Merkez kısmında Kuzey Amerika yemekleri için, Gourmet Burger Kitchen var."",""Telefon numarası ve posta kodu nedir?\n"",""Posta kodu: C.B 2, 1 A.B, telefon numarası 01223 312598"",""Başka bir şey var mı?"",""Kuzey Amerikan yemekleri sunan tek restoran bu."",""bana telefon numarasını ve posta kodunu verebilir misiniz ?"",""telefon numarası 01223 312598 ve posta kodu C.B 2, 1 A.B'dir."",""Teşekkürler, güle güle."",""Servisimizi kullandığınız için teşekkürler. Hoşçakalın.""]}";
"{""id"":""WOZ20324.json"",""log"":[""Şehrin Kuzey tarafında bir lokanta var mı?"",""Şehrin kuzey kesiminde çok sayıda restoran var. Fiyat aralığı ya da yiyecek türü tercihiniz var mı?"",""Farketmez."",""City Stop Restoran adında şehrin Kuzey tarafında pahalı bir restoran var."",""Şehrin kuzey kesiminde İsveç yemekleri sunan bir restoran istiyorum."",""Üzgünüm ama o bölgede hizmet veren İsveçli restoran yok. Aramanızı genişletmek ister misiniz?"",""Hint yemeğine ne dersiniz?"",""The Royal Spice restoranı ucuz fiyat aralığı sunuyor."",""Adres, telefon numarası ve fiyat aralığı nedir?"",""adresi Victoria Avenue Chesterton ve telefon numarası 01733 553355."",""Teşekkürler güle güle sana."",""Güle güle.""]}";
"{""id"":""WOZ20343.json"",""log"":[""İran yemekleri sunan bir restoran arıyorum."",""Aklınızda belirli bir bölge var mı?\n"",""Önemli değil."",""Fars yemek servisi yapan restoranı bulamadım."",""bunun yerine bir avrupa restoranı alabilir miyim?"",""cambridge lodge restoran şehrin batı kesiminde ve Avrupa yemekleri sunmaktadır. Size yardımcı olabileceğim başka bir şey var mı?"",""Adres ve telefon numarasına ihtiyacım var."",""Cambridge Lodge Restaurant adresi Cambridge Lodge Hotel 139 Huntingdon Road City Center ve telefon numarası 01223 355166. Başka bir konuda yardımcı olabilir miyim?"",""Hayır, bu yeterli. Teşekkürler ve güle güle!"",""Sistemimizi kullandığınız için teşekkür ederiz. Güle güle.""]}";
"{""id"":""SNG01611.json"",""log"":[""Bir restoran arıyorum. Restoran merkezde olmalı ve fars yemeği servis etmeli"",""Üzgünüm. Merkezde hiçbir fars yemeği mekanı bulunmamaktadır. Farklı bir mutfak türü ister misiniz?"",""Evet, ortalama bir fiyat aralığı arıyorum."",""Üzgünüm, merkezde fars restoranımız yok."",""Modern Avrupa yemeklerine ne dersiniz?"",""Riverside brasserie uygun görünüyor. Rezervasyon ister misiniz?"",""Evet, Pazar günü saat 16:00'da 8 kişi için rezervasyon istiyorum."",""Maalesef, restoranın o tarih ve saat için uygunluğu yok."",""Tamam, daha sonra kontrol ederim."",""Tamam. İyi günler.""]}";
"{""id"":""WOZ20299.json"",""log"":[""Şehrin güney kısmında ucuz bir restoran arıyorum."",""Lucky Star adında şehrin güney kesiminde ucuz bir Çin restoranı var."",""Başka bir yer var mı?"",""Nandos, güneyde ucuz bir Portekiz restoranıdır. Bilgilerini ister misiniz?"",""üzgünüm o restoranın yemek türü nedir?"",""Portekiz yemeği servis ediyorlar."",""Hangi fiyat aralığı?"",""Ucuz fiyat aralığında."",""Kulağa hoş geliyor. Adresleri ve telefon numaraları nedir?"",""Nando adresi: Cambridge Leisure Park Clifton Way'de ve telefon numarası 01223 327908. Size yardımcı olabileceğim başka bir şey var mı?"",""Hayır, teşekkür ederim. Güle güle!"",""Rica ederim. Güle güle.""]}";
"{""id"":""SNG01425.json"",""log"":[""Şehrin merkezinde Yunan yemeği seçeneği var mı?"",""Üzgünüm, Yunan restoranları için hiçbir sonuç göstermiyorum. Tercih ettiğiniz başka yiyecekler var mı?"",""Peki ya Çin yemeği?"",""Charlie Chan'in güzel yorumları mevcut."",""Çarşamba günü saat 19: 00'da 8 kişilik bir masa ayırtın."",""Rezervasyonunuz başarılı. Masa 15 dakikalığına ayrılacaktır. Referans numarası 1J6Y65LW."",""Teşekkürler, hepsi bu. Güle güle."",""Hizmetlerimizi kullandığınız için teşekkür ederiz.""]}";
"{""id"":""WOZ20453.json"",""log"":[""Ucuz yemek sunan Çin restoranı arıyorum."",""Birkaç ucuz Çin restoranı var. Belli bir bölgeyi tercih eder misiniz?"",""Şehrin Güney kısmı."",""Lucky Star, şehrin güneyindeki tek ucuz Çin restoranıdır. Herhangi bir iletişim bilgisi ister misiniz?"",""Evet, telefon numarası ve adresi nedir?"",""Lucky Star Restaurant, Cambridge Leisure Park Clifton Way Cherry Hinton'dadır ve 01223 244277 numaralı telefondan telefonla ulaşılabilir."",""Mükemmel. Çok teşekkür ederim. Bu kadarı yeterli benim için."",""Sistemimizi seçtiğiniz için teşekkür ederiz. Güle güle.""]}";
